exit_time,pnl_usd,cumulative_pnl_usd,drawdown_usd
2021-01-12T09:45:00,-109.5,-109.5,-109.5
2021-01-12T22:15:00,-44.0,-153.5,-153.5
2021-01-13T14:45:00,-7.5,-161.0,-161.0
2021-01-14T12:30:00,10.0,-151.0,-151.0
2021-01-15T16:45:00,-73.0,-224.0,-224.0
2021-01-16T03:30:00,-86.0,-310.0,-310.0
2021-01-19T21:30:00,193.5,-116.5,-116.5
2021-01-20T00:30:00,2.0,-114.5,-114.5
2021-01-21T15:30:00,827.5,713.0,0.0
2021-01-22T02:15:00,-100.5,612.5,-100.5
2021-01-22T08:15:00,-41.5,571.0,-142.0
2021-01-26T01:00:00,-16.0,555.0,-158.0
2021-01-26T23:45:00,-42.0,513.0,-200.0
2021-01-27T02:00:00,-101.5,411.5,-301.5
2021-01-27T11:15:00,-57.0,354.5,-358.5
2021-01-28T20:30:00,-167.0,187.5,-525.5
2021-01-29T05:30:00,154.5,342.0,-371.0
2021-01-29T15:45:00,56.0,398.0,-315.0
2021-01-30T05:15:00,-217.0,181.0,-532.0
2021-02-01T10:45:00,-191.5,-10.5,-723.5
2021-02-02T14:15:00,5.5,-5.0,-718.0
2021-02-03T18:15:00,277.0,272.0,-441.0
2021-02-04T00:00:00,-84.5,187.5,-525.5
2021-02-04T03:45:00,-69.5,118.0,-595.0
2021-02-04T08:15:00,-113.0,5.0,-708.0
2021-02-04T23:30:00,-24.0,-19.0,-732.0
2021-02-05T10:15:00,71.0,52.0,-661.0
2021-02-05T18:15:00,7.5,59.5,-653.5
2021-02-06T05:30:00,-96.0,-36.5,-749.5
2021-02-08T17:30:00,-12.5,-49.0,-762.0
2021-02-10T01:30:00,-53.5,-102.5,-815.5
2021-02-10T19:45:00,25.0,-77.5,-790.5
2021-02-12T00:00:00,-11.0,-88.5,-801.5
2021-02-15T14:30:00,242.5,154.0,-559.0
2021-02-16T14:45:00,53.5,207.5,-505.5
2021-02-17T18:45:00,-67.0,140.5,-572.5
2021-02-17T23:45:00,-51.5,89.0,-624.0
2021-02-18T03:15:00,-114.0,-25.0,-738.0
2021-02-18T18:00:00,-74.0,-99.0,-812.0
2021-02-19T03:30:00,8.5,-90.5,-803.5
2021-02-19T09:00:00,-14.5,-105.0,-818.0
2021-02-19T23:45:00,-76.5,-181.5,-894.5
2021-02-22T10:30:00,-13.0,-194.5,-907.5
2021-02-23T03:30:00,-125.5,-320.0,-1033.0
2021-02-23T10:45:00,-42.0,-362.0,-1075.0
2021-02-24T00:45:00,214.5,-147.5,-860.5
2021-02-24T16:45:00,-125.0,-272.5,-985.5
2021-02-25T01:15:00,-227.5,-500.0,-1213.0
2021-02-25T23:45:00,-143.0,-643.0,-1356.0
2021-02-26T11:30:00,569.5,-73.5,-786.5
2021-03-02T10:45:00,307.5,234.0,-479.0
2021-03-02T15:15:00,-76.5,157.5,-555.5
2021-03-02T19:45:00,-112.0,45.5,-667.5
2021-03-02T23:45:00,-82.5,-37.0,-750.0
2021-03-03T12:15:00,40.5,3.5,-709.5
2021-03-04T16:15:00,939.5,943.0,0.0
2021-03-05T12:00:00,160.5,1103.5,0.0
2021-03-06T02:30:00,-372.5,731.0,-372.5
2021-03-08T20:15:00,-167.5,563.5,-540.0
2021-03-09T10:15:00,41.5,605.0,-498.5
2021-03-10T13:45:00,-99.5,505.5,-598.0
2021-03-10T21:15:00,-113.5,392.0,-711.5
2021-03-10T23:45:00,-107.5,284.5,-819.0
2021-03-11T21:15:00,-26.5,258.0,-845.5
2021-03-12T06:00:00,46.5,304.5,-799.0
2021-03-15T12:00:00,50.5,355.0,-748.5
2021-03-16T09:00:00,117.5,472.5,-631.0
2021-03-17T01:30:00,143.0,615.5,-488.0
2021-03-18T12:15:00,111.0,726.5,-377.0
2021-03-19T16:30:00,-6.0,720.5,-383.0
2021-03-23T04:30:00,394.0,1114.5,0.0
2021-03-24T04:00:00,-81.5,1033.0,-81.5
2021-03-24T10:15:00,-93.0,940.0,-174.5
2021-03-25T09:15:00,378.5,1318.5,0.0
2021-03-25T11:30:00,-67.5,1251.0,-67.5
2021-03-25T23:15:00,-63.0,1188.0,-130.5
2021-03-26T01:30:00,-202.0,986.0,-332.5
2021-03-26T22:45:00,-32.0,954.0,-364.5
2021-03-29T09:15:00,-105.0,849.0,-469.5
2021-03-29T22:00:00,-38.0,811.0,-507.5
2021-03-30T03:45:00,-189.0,622.0,-696.5
2021-03-31T00:45:00,-108.5,513.5,-805.0
2021-04-01T05:00:00,321.0,834.5,-484.0
2021-04-02T02:30:00,242.5,1077.0,-241.5
2021-04-02T14:45:00,41.5,1118.5,-200.0
2021-04-06T10:15:00,433.5,1552.0,0.0
2021-04-07T02:15:00,-100.0,1452.0,-100.0
2021-04-08T00:45:00,-81.5,1370.5,-181.5
2021-04-08T04:45:00,-75.0,1295.5,-256.5
2021-04-08T17:45:00,93.0,1388.5,-163.5
2021-04-08T21:15:00,-57.5,1331.0,-221.0
2021-04-08T23:15:00,-92.0,1239.0,-313.0
2021-04-09T12:00:00,50.0,1289.0,-263.0
2021-04-12T08:45:00,35.0,1324.0,-228.0
2021-04-14T22:30:00,319.5,1643.5,0.0
2021-04-16T10:15:00,171.0,1814.5,0.0
2021-04-16T22:45:00,-21.5,1793.0,-21.5
2021-04-19T15:15:00,-24.0,1769.0,-45.5
2021-04-21T21:15:00,-58.5,1710.5,-104.0
2021-04-22T08:45:00,156.5,1867.0,0.0
2021-04-23T10:30:00,-85.0,1782.0,-85.0
2021-04-24T05:00:00,241.5,2023.5,0.0
2021-04-27T16:00:00,-17.5,2006.0,-17.5
2021-04-28T23:45:00,-96.5,1909.5,-114.0
2021-04-29T14:15:00,27.0,1936.5,-87.0
2021-04-29T22:45:00,-40.5,1896.0,-127.5
2021-04-30T02:30:00,-132.5,1763.5,-260.0
2021-04-30T15:30:00,-42.0,1721.5,-302.0
2021-05-01T00:15:00,-94.5,1627.0,-396.5
2021-05-03T15:45:00,-29.0,1598.0,-425.5
2021-05-03T19:30:00,-35.0,1563.0,-460.5
2021-05-03T22:45:00,-95.5,1467.5,-556.0
2021-05-04T00:00:00,-164.5,1303.0,-720.5
2021-05-04T14:45:00,76.0,1379.0,-644.5
2021-05-05T03:15:00,403.0,1782.0,-241.5
2021-05-06T09:45:00,0.5,1782.5,-241.0
2021-05-07T22:00:00,-69.5,1713.0,-310.5
2021-05-11T14:15:00,944.5,2657.5,0.0
2021-05-11T22:45:00,-193.0,2464.5,-193.0
2021-05-12T16:15:00,-24.0,2440.5,-217.0
2021-05-13T09:45:00,321.0,2761.5,0.0
2021-05-18T04:15:00,53.5,2815.0,0.0
2021-05-19T23:30:00,109.0,2924.0,0.0
2021-05-20T16:00:00,151.0,3075.0,0.0
2021-05-21T11:15:00,441.0,3516.0,0.0
2021-05-21T22:45:00,-85.0,3431.0,-85.0
2021-05-25T05:00:00,283.5,3714.5,0.0
2021-05-25T19:45:00,20.0,3734.5,0.0
2021-05-26T15:15:00,-19.5,3715.0,-19.5
2021-05-26T22:15:00,-66.0,3649.0,-85.5
2021-05-28T03:15:00,-111.0,3538.0,-196.5
2021-05-28T21:15:00,-16.0,3522.0,-212.5
2021-05-28T23:30:00,-59.5,3462.5,-272.0
2021-05-29T03:00:00,-57.5,3405.0,-329.5
2021-06-01T23:00:00,72.0,3477.0,-257.5
2021-06-02T00:45:00,-80.0,3397.0,-337.5
2021-06-03T02:30:00,-71.0,3326.0,-408.5
2021-06-03T04:45:00,-97.5,3228.5,-506.0
2021-06-04T00:00:00,115.0,3343.5,-391.0
2021-06-04T11:30:00,-58.0,3285.5,-449.0
2021-06-07T09:15:00,413.5,3699.0,-35.5
2021-06-07T20:15:00,-77.5,3621.5,-113.0
2021-06-07T22:30:00,-50.5,3571.0,-163.5
2021-06-08T12:00:00,111.5,3682.5,-52.0
2021-06-08T23:00:00,-44.0,3638.5,-96.0
2021-06-09T23:30:00,11.5,3650.0,-84.5
2021-06-11T14:15:00,266.5,3916.5,0.0
2021-06-11T21:45:00,-40.0,3876.5,-40.0
2021-06-14T15:15:00,22.0,3898.5,-18.0
2021-06-14T21:45:00,-39.5,3859.0,-57.5
2021-06-15T19:00:00,157.0,4016.0,0.0
2021-06-17T00:15:00,-23.0,3993.0,-23.0
2021-06-17T21:30:00,-65.5,3927.5,-88.5
2021-06-18T16:45:00,367.0,4294.5,0.0
2021-06-21T20:30:00,-72.0,4222.5,-72.0
2021-06-22T15:15:00,-35.5,4187.0,-107.5
2021-06-22T22:00:00,-65.0,4122.0,-172.5
2021-06-23T14:15:00,184.5,4306.5,0.0
2021-06-25T02:00:00,148.0,4454.5,0.0
2021-06-25T14:30:00,-19.0,4435.5,-19.0
2021-06-25T20:45:00,-32.0,4403.5,-51.0
2021-06-29T09:15:00,184.5,4588.0,0.0
2021-06-29T21:15:00,-29.5,4558.5,-29.5
2021-06-29T23:15:00,-56.5,4502.0,-86.0
2021-06-30T11:00:00,66.0,4568.0,-20.0
2021-07-05T12:30:00,211.5,4779.5,0.0
2021-07-06T10:30:00,-22.5,4757.0,-22.5
2021-07-07T01:15:00,-114.5,4642.5,-137.0
2021-07-07T15:45:00,-32.0,4610.5,-169.0
2021-07-07T22:45:00,-24.0,4586.5,-193.0
2021-07-09T09:00:00,-5.5,4581.0,-198.5
2021-07-12T09:45:00,84.5,4665.5,-114.0
2021-07-12T19:15:00,-50.0,4615.5,-164.0
2021-07-12T23:00:00,-56.5,4559.0,-220.5
2021-07-13T21:45:00,-95.5,4463.5,-316.0
2021-07-14T02:30:00,-49.0,4414.5,-365.0
2021-07-15T00:30:00,9.0,4423.5,-356.0
2021-07-16T12:30:00,-32.5,4391.0,-388.5
2021-07-16T15:15:00,-35.5,4355.5,-424.0
2021-07-16T23:15:00,-70.5,4285.0,-494.5
2021-07-19T12:45:00,52.0,4337.0,-442.5
2021-07-20T05:00:00,117.5,4454.5,-325.0
2021-07-20T23:00:00,-101.5,4353.0,-426.5
2021-07-21T11:15:00,107.0,4460.0,-319.5
2021-07-21T14:45:00,-49.0,4411.0,-368.5
2021-07-21T22:45:00,-96.5,4314.5,-465.0
2021-07-22T14:15:00,123.5,4438.0,-341.5
2021-07-22T23:00:00,-19.5,4418.5,-361.0
2021-07-23T01:15:00,-73.0,4345.5,-434.0
2021-07-23T20:15:00,66.5,4412.0,-367.5
