entry_time,direction,match_type,entry_time_diff_minutes,exit_time_diff_minutes,research_exit_reason,paper_exit_reason,research_exit_time,paper_exit_time,research_pnl,paper_pnl,pnl_difference
2026-05-22T02:30:00,long,fuzzy_entry_shift,15,-855,opposite_10,long_atr_stop,2026-05-22T18:15:00,2026-05-22T04:00:00,189.0,-313.0,-502.0
2025-10-11T00:15:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2025-10-13T09:00:00,2025-10-13T09:00:00,552.0,71.0,-481.0
2026-02-13T01:15:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2026-02-13T18:30:00,2026-02-13T18:30:00,290.0,48.5,-241.5
2024-08-26T23:30:00,short,fuzzy_entry_shift,15,-555,opposite_10,short_atr_stop,2024-08-27T09:30:00,2024-08-27T00:15:00,70.5,-130.0,-200.5
2023-03-15T19:45:00,short,fuzzy_entry_shift,15,-60,atr_stop,short_atr_stop,2023-03-15T22:45:00,2023-03-15T21:45:00,-190.0,5.0,195.0
2024-10-01T23:00:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2024-10-02T03:00:00,2024-10-02T03:00:00,82.5,-107.5,-190.0
2024-10-31T22:45:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2024-11-01T12:15:00,2024-11-01T12:15:00,329.0,141.5,-187.5
2025-02-04T00:30:00,long,fuzzy_entry_shift,15,0,opposite_10,long_exit_opposite_10,2025-02-04T11:45:00,2025-02-04T11:45:00,248.0,76.0,-172.0
2026-02-24T00:45:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2026-02-24T11:15:00,2026-02-24T11:15:00,-14.0,-184.0,-170.0
2025-06-13T09:00:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2025-06-13T15:15:00,2025-06-13T15:15:00,399.5,242.5,-157.0
2022-05-05T23:00:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2022-05-06T12:45:00,2022-05-06T12:45:00,643.5,498.0,-145.5
2021-12-18T01:00:00,long,fuzzy_entry_shift,15,-15,atr_stop,long_atr_stop,2021-12-18T02:00:00,2021-12-18T01:45:00,-163.5,-302.0,-138.5
2021-01-28T23:00:00,long,fuzzy_entry_shift,15,0,opposite_10,long_exit_opposite_10,2021-01-29T05:30:00,2021-01-29T05:30:00,277.0,154.5,-122.5
2022-04-19T23:00:00,long,fuzzy_entry_shift,15,0,opposite_10,long_exit_opposite_10,2022-04-20T03:15:00,2022-04-20T03:15:00,218.5,107.0,-111.5
2022-04-22T00:45:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2022-04-22T13:30:00,2022-04-22T13:30:00,633.0,524.0,-109.0
2021-03-19T03:30:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2021-03-19T16:30:00,2021-03-19T16:30:00,100.5,-6.0,-106.5
2022-09-14T04:30:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2022-09-14T11:15:00,2022-09-14T11:15:00,-0.5,-95.0,-94.5
2021-08-16T23:00:00,short,fuzzy_entry_shift,15,0,opposite_10,short_atr_stop,2021-08-17T02:00:00,2021-08-17T02:00:00,17.5,-74.5,-92.0
2025-09-05T23:30:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2025-09-06T04:15:00,2025-09-06T04:15:00,-33.5,-123.0,-89.5
2022-05-04T23:00:00,short,fuzzy_entry_shift,15,-15,atr_stop,short_atr_stop,2022-05-05T01:45:00,2022-05-05T01:30:00,-103.0,-190.0,-87.0
2025-08-19T23:30:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2025-08-20T15:45:00,2025-08-20T15:45:00,483.5,397.0,-86.5
2021-02-17T23:00:00,short,fuzzy_entry_shift,15,-210,opposite_10,short_atr_stop,2021-02-18T03:15:00,2021-02-17T23:45:00,33.5,-51.5,-85.0
2022-10-28T05:15:00,short,fuzzy_entry_shift,15,-90,atr_stop,short_atr_stop,2022-10-28T07:15:00,2022-10-28T05:45:00,-205.0,-125.0,80.0
2023-09-30T02:00:00,short,fuzzy_entry_shift,15,-3015,atr_stop,short_atr_stop,2023-10-02T07:15:00,2023-09-30T05:00:00,-128.0,-48.5,79.5
2024-04-03T23:15:00,long,fuzzy_entry_shift,15,0,opposite_10,long_atr_stop,2024-04-04T04:15:00,2024-04-04T04:15:00,-51.0,-129.0,-78.0
2023-01-04T00:00:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2023-01-04T05:00:00,2023-01-04T05:00:00,114.5,37.0,-77.5
2023-10-03T23:15:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2023-10-04T17:30:00,2023-10-04T17:30:00,283.0,205.5,-77.5
2025-12-11T21:15:00,long,fuzzy_entry_shift,15,0,atr_stop,long_atr_stop,2025-12-11T23:45:00,2025-12-11T23:45:00,-112.0,-181.5,-69.5
2026-02-02T23:45:00,long,fuzzy_entry_shift,15,0,opposite_10,long_exit_opposite_10,2026-02-03T05:00:00,2026-02-03T05:00:00,257.0,188.0,-69.0
2024-04-26T02:45:00,long,fuzzy_entry_shift,15,0,opposite_10,long_exit_opposite_10,2024-04-26T18:15:00,2024-04-26T18:15:00,374.5,306.5,-68.0
2026-03-06T18:30:00,short,fuzzy_entry_shift,15,0,opposite_10,short_exit_opposite_10,2026-03-09T14:15:00,2026-03-09T14:15:00,1641.5,1573.5,-68.0
