entry_time,direction,pnl
2021-02-18T00:30:00,short,-114.0
2021-02-19T21:30:00,long,-76.5
2021-06-02T00:00:00,short,-80.0
2021-07-16T01:15:00,short,-32.5
2021-08-17T05:00:00,long,-40.0
2021-10-07T03:15:00,long,227.5
2021-10-12T09:15:00,short,3.0
2021-11-12T23:45:00,short,-42.5
2022-01-14T05:15:00,short,111.0
2022-02-09T01:45:00,long,-107.5
2022-03-05T01:00:00,short,-238.5
2022-04-02T02:15:00,short,-177.5
2022-06-09T10:45:00,short,-57.5
2022-07-19T03:45:00,short,44.5
2022-10-11T01:30:00,short,-227.0
2022-11-01T23:45:00,short,37.0
2022-12-16T03:00:00,short,-50.0
2023-01-19T20:15:00,short,-18.5
2023-02-21T10:15:00,short,-30.0
2023-02-21T18:00:00,short,-44.5
2023-02-22T00:15:00,short,125.0
2023-03-01T20:00:00,long,-72.5
2023-04-18T00:45:00,short,-65.0
2023-05-08T22:45:00,short,-50.5
2023-08-25T04:45:00,short,74.0
2023-09-07T00:00:00,short,-46.0
2023-10-06T14:45:00,short,-41.0
2024-02-13T23:15:00,short,-222.0
2024-03-06T03:45:00,short,-164.5
2024-03-09T03:45:00,short,-287.0
2024-03-11T07:15:00,short,-80.5
2024-07-15T20:15:00,long,-28.5
2024-08-02T01:45:00,short,2367.5
2024-10-21T20:00:00,short,-81.5
2024-10-31T09:00:00,short,169.5
2024-11-15T09:45:00,short,131.5
2024-11-28T01:15:00,short,-142.5
2024-12-21T02:30:00,long,-277.5
2025-01-08T00:45:00,short,-120.5
2025-01-08T05:15:00,short,-72.0
2025-01-27T14:30:00,short,603.5
2025-02-22T00:30:00,short,527.0
2025-06-06T04:30:00,short,-45.0
2025-06-19T22:45:00,short,-216.5
2025-08-01T07:45:00,short,-83.5
2025-08-19T12:45:00,short,-64.0
2025-09-25T22:45:00,short,-49.5
2025-10-02T00:45:00,long,235.5
2025-11-17T12:15:00,long,-71.5
2025-11-25T18:30:00,short,-85.0
2025-12-12T20:45:00,short,-139.5
2026-01-15T22:15:00,long,47.5
2026-02-20T23:30:00,short,-420.5
2026-03-05T01:45:00,long,-81.0
2026-03-18T09:15:00,long,110.0
2026-04-03T09:15:00,long,-140.0
