entry_time,direction,pnl,classification,candidate_entry_time,candidate_direction,candidate_pnl,source_exit_time,candidate_exit_time,source_entry_price,candidate_entry_price,source_exit_price,candidate_exit_price,source_exit_reason,candidate_exit_reason,entry_bar_delta,note
2021-01-28T23:15:00,long,154.5,near_match_entry_shift,2021-01-28T23:00:00,long,277.0,2021-01-29T05:30:00,2021-01-29T05:30:00,13181.25,13120.0,13258.5,13258.5,long_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2021-02-17T23:15:00,short,-51.5,near_match_entry_shift,2021-02-17T23:00:00,short,33.5,2021-02-17T23:45:00,2021-02-18T03:15:00,13629.5,13676.75,13655.25,13660.0,short_atr_stop,opposite_10,-1,same_side_trade_within_1_bar
2021-02-18T00:30:00,short,-114.0,no_near_match,,,,2021-02-18T03:15:00,,13603.0,,13660.0,,short_atr_stop,,,no_same_side_trade_within_5_bars
2021-02-19T21:30:00,long,-76.5,no_near_match,,,,2021-02-19T23:45:00,,13708.0,,13669.75,,long_atr_stop,,,no_same_side_trade_within_5_bars
2021-03-19T03:45:00,short,-6.0,near_match_entry_shift,2021-03-19T03:30:00,short,100.5,2021-03-19T16:30:00,2021-03-19T16:30:00,12832.75,12886.0,12835.75,12835.75,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2021-03-26T20:00:00,short,-32.0,near_match_entry_shift,2021-03-26T19:45:00,short,-13.0,2021-03-26T22:45:00,2021-03-26T22:45:00,12776.75,12786.25,12792.75,12792.75,short_atr_stop,opposite_10,-1,same_side_trade_within_1_bar
2021-04-23T03:00:00,short,-85.0,near_match_entry_shift,2021-04-23T02:45:00,short,-19.0,2021-04-23T10:30:00,2021-04-23T10:30:00,13732.5,13765.5,13775.0,13775.0,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2021-04-30T01:15:00,short,-132.5,near_match_entry_shift,2021-04-30T01:00:00,short,-124.5,2021-04-30T02:30:00,2021-04-30T03:00:00,13841.0,13861.5,13907.25,13923.75,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2021-06-02T00:00:00,short,-80.0,near_match_price_diff,2021-06-01T23:15:00,short,-55.5,2021-06-02T00:45:00,2021-06-02T03:45:00,13614.75,13657.75,13654.75,13685.5,short_atr_stop,opposite_10,-3,same_side_trade_within_5_bars_but_price_diff
2021-07-16T01:15:00,short,-32.5,near_match_price_diff,2021-07-16T00:00:00,short,32.0,2021-07-16T12:30:00,2021-07-16T12:30:00,14747.25,14779.5,14763.5,14763.5,short_exit_opposite_10,opposite_10,-5,same_side_trade_within_5_bars_but_price_diff
